class_final,fragment_area_m2,fragments,complete_objects,complete_area_m2,simple_unit_01,simple_unit_02,simple_unit_03,simple_unit_04,simple_unit_05,simple_unit_06,simple_unit_07,simple_unit_08,simple_unit_09,simple_unit_10,simple_unit_11,simple_unit_12
bare earth,1775.9074252452865,748,725,2046.6967031372058,0.9027352314456933,0.7621123343732887,1.1794183552070865,0.5823179412535108,0.9086770176464345,0.1610628286287468,0.0,0.5370514920929228,2.5942867872764843,1.915659231293589,0.5647952545963734,0.7722755088241537
canopy,2750.5094818777825,1255,1358,3692.2183882470845,0.2859282992359038,0.1602889562748713,0.17929370901475394,0.18881492175497583,0.18578342354948027,0.0,0.23370818718716085,0.2123510563180062,1.0520668108820324,0.8970955922524397,0.0729650751502793,0.19404364227594897
concrete,1596.9245011540802,635,1146,3343.357343577747,0.12048013504691914,0.05438707525949676,0.006768249610818178,0.0,0.09377120847724026,0.26637573448042295,0.0,0.0,0.3779942438432906,0.22948942120264468,0.28871822531695374,0.3983180404185507
ground cover,806.9478298940217,356,348,981.7992337055039,0.1966902931235975,0.22419257624626934,0.39192799303558173,0.24234564433128333,0.600714968331726,0.578158364947836,1.5711158159841174,0.41133863370854495,0.1330412547741267,0.0,0.3800047154173521,0.5589666079102177
impervious other,53.28040790776137,19,21,64.56647853578676,0.018411014719168308,0.03771319255539887,0.08301375946254472,0.0044408575478390505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open water,39.2653473226985,14,14,39.265347321989694,0.033235076109699765,0.04658389686379522,0.0,0.003582812094187339,0.028126906038485316,0.0,0.13422661003024128,1.313062194368902,2.3837755360246238,1.710437625432507,0.039917714438363415,0.02046002775565821
roads,397.19276145407986,149,1551,4204.49091024193,0.22641946569149346,0.2776586461799242,0.3170281215141278,0.39029317947535214,0.3098685350957971,0.3496745536912151,0.23458599791781284,0.31307096978212146,0.171146852445724,0.35700393761358024,0.4237258448599589,0.35735628990853385
shadow,2968.4126254694916,1187,1234,3676.7200164168366,0.7346645112380513,0.47599933789187104,0.8587003932340448,0.5087521175864417,0.531522961565872,0.0,0.0,0.0,0.0,0.0,0.5037027266071795,0.2515812709087393
structures,7732.339421756094,2766,2867,8190.62599524461,0.7739611171776555,0.8281400522487709,0.9493786733158561,1.0310989207768486,0.97051136146853,1.942808792315546,3.1997126231031694,3.188642955946342,3.427439165531352,2.441777589674346,0.9869607189423294,1.146954156570455
turf,4823.962349259937,1946,2087,5825.698307847077,0.4427180600324021,0.5830313813426626,0.2612331991513676,0.47119495523496957,0.660266715499412,1.325688570481138,4.416338459796974,4.835200846410252,3.65875917919505,1.9753154479323662,0.8031051134327992,0.5610654550781753
undeveloped lands,1010.940217886405,427,401,1117.3586859694358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033080923172614067
unlabelled,2307.421400661002,1148,1010,2789.733391299492,0.3693757701330462,0.4574182454489663,0.5882431132789633,0.5607362762222596,0.30614609639365575,0.21615282679289624,0.6393555424871926,0.5040796480264417,0.12963196540291286,0.36331915954953026,0.6342836206029754,0.41960955495101454
vehicles,494.3068540935008,197,257,763.1956429697992,0.1172293955310879,0.04601107485103087,0.1184136684127813,0.07371333609601906,0.08999169852820191,0.38896636460814066,0.2172955884689769,0.1256735683150969,0.0,0.0,0.07928660281399724,0.25307640815625054
