model_a,model_b,mean_parcel_monthly_mae_difference_a_minus_b,median_difference,bootstrap_p025,bootstrap_p975,parcels_a_better,parcels_b_better,ties
mean_curve,class_area_nnls,0.28478013544731395,0.30804119036714717,-0.04229705650406263,0.6225197693423593,14,24,0
mean_curve,seasonally_regularized_class_area,0.33171074576047943,0.3637851657042934,0.038803523351534495,0.6257337162570776,13,25,0
mean_curve,landsat_only_parcel_ridge,0.004303510352119002,0.02670617780686746,-0.06677684856543688,0.07352505671806162,17,21,0
mean_curve,landsat_only_parcel_rf,-0.290600196806024,-0.16370244989887794,-0.8288142781290101,0.17792979066790138,20,18,0
mean_curve,landsat_only_bottomup_nonnegative,0.05918704245960129,0.049201344819571835,-0.19739305810221366,0.29693833324362745,16,22,0
mean_curve,landsat_only_bottomup_signed,0.00019824001289192594,0.04267120662346002,-0.2695321693646607,0.2533483656959214,18,20,0
class_area_nnls,seasonally_regularized_class_area,0.04693061031316543,0.05465733094071701,-0.0136463926023692,0.10806819474096034,13,25,0
class_area_nnls,landsat_only_parcel_ridge,-0.28047662509519494,-0.2443244523627116,-0.6320289148525117,0.028086156771627804,22,16,0
class_area_nnls,landsat_only_parcel_rf,-0.5753803322533378,-0.1912203156281148,-1.2080943878281758,0.009419003780213951,21,17,0
class_area_nnls,landsat_only_bottomup_nonnegative,-0.2255930929877128,-0.021046725712768666,-0.6666806211306735,0.1626774210689398,20,18,0
class_area_nnls,landsat_only_bottomup_signed,-0.2845818954344221,-0.004343482480288818,-0.7672191654735159,0.13771355072852878,19,19,0
seasonally_regularized_class_area,landsat_only_parcel_ridge,-0.3274072354083604,-0.3337709003166268,-0.6343942903948235,-0.05068777950968192,24,14,0
seasonally_regularized_class_area,landsat_only_parcel_rf,-0.6223109425665033,-0.18829156152696447,-1.2301607307523916,-0.0689301543593863,22,16,0
seasonally_regularized_class_area,landsat_only_bottomup_nonnegative,-0.2725237033008781,-0.2251399732402397,-0.685806112526046,0.10311048642836196,21,17,0
seasonally_regularized_class_area,landsat_only_bottomup_signed,-0.33151250574758767,-0.1916916809795851,-0.7700521854231652,0.057159933273210506,23,15,0
landsat_only_parcel_ridge,landsat_only_parcel_rf,-0.29490370715814285,0.1909025423030538,-0.8239006072464202,0.1720443672732727,18,20,0
landsat_only_parcel_ridge,landsat_only_bottomup_nonnegative,0.05488353210748229,0.17070080027030565,-0.17499207194839092,0.2782245229711931,16,22,0
landsat_only_parcel_ridge,landsat_only_bottomup_signed,-0.004105270339227076,-0.0304803589349234,-0.2500108528002754,0.22811017702931238,19,19,0
landsat_only_parcel_rf,landsat_only_bottomup_nonnegative,0.3497872392656253,-0.10065328813806995,-0.18073209349309816,0.9463931963476357,22,16,0
landsat_only_parcel_rf,landsat_only_bottomup_signed,0.290798436818916,-0.11021284509592544,-0.2304316951421799,0.890967937474541,22,16,0
landsat_only_bottomup_nonnegative,landsat_only_bottomup_signed,-0.05898880244670936,0.015153373710241724,-0.1449846145077546,0.013792495632311826,14,24,0
