circuit_id,parcel_id,assessment_required,reviewed_side
C30008,11682,True,right
C30008,16703,True,right
C30008,27727,True,left
C30008,32864,True,right
C30015,2416,True,right
C30015,2446,True,right
C30015,2479,True,right
C30015,10173,True,right
C30015,12585,True,right
C30015,15657,True,left
C30015,16631,True,left
C30015,26250,True,right
C30015,27645,True,left
C30015,28700,True,right
C30015,30261,True,left
C30015,32843,True,left
C30015,32844,True,left
C30015,32845,True,right
C30015,32846,True,right
C30015,32847,True,left
C30033,2538,True,right
C30033,2635,True,left
C30033,2643,True,left
C30033,11631,True,right
C30033,11645,True,right
C30033,12616,True,right
C30033,12617,True,left
C30033,14233,True,right
C30033,18238,True,right
C30033,18245,True,right
C30033,19699,True,right
C30033,19701,True,left
C30033,20700,True,right
C30033,20703,True,right
C30033,27675,True,left
C30033,30290,True,right
C30033,32851,True,right
C30033,32852,True,right
C30033,32854,True,right
C30033,32856,True,right
C30033,32857,True,right
C30033,33833,True,right
C30034,12606,True,left
C30034,15677,True,left
C30034,15679,True,left
C30034,16660,True,left
C30034,16669,True,right
C30034,18246,True,left
C30034,19681,True,left
C30034,20719,True,left
C30034,23640,True,left
C30034,24699,True,left
C30034,27657,True,left
C30034,27660,True,left
C30034,27676,True,left
C30034,30286,True,left
C30034,30297,True,left
C30034,32849,True,left
C30034,32853,True,right
C30034,34276,True,left
C30034,34280,True,left
C30862,10424,True,right
C30862,15882,True,left
C30862,18477,True,right
C30862,23861,True,right
C31093,2664,True,right
C31093,2706,True,right
C31093,9708,True,right
C31093,9709,True,right
C31093,9710,True,right
C31093,11684,True,left
C31093,12662,True,left
C31093,15701,True,right
C31093,15712,True,right
C31093,15718,True,right
C31093,15740,True,left
C31093,16674,True,right
C31093,22246,True,right
C31093,26312,True,left
C31093,27722,True,left
C31093,30326,True,left
C31093,38223,True,left
C31221,5630,True,left
C31221,5636,True,left
C31221,5642,True,right
C31221,5645,True,left
C31221,13509,True,right
C31221,14642,True,right
C31221,15096,True,right
C31221,31161,True,left
C31401,6451,True,right
C31401,11137,True,left
C31401,16230,True,left
C31401,20249,True,right
C31401,20253,True,right
C31401,28281,True,left
C31402,6463,True,left
C31402,17602,True,right
C31402,24242,True,right
C31402,24248,True,left
C31402,28278,True,left
C31402,31248,True,right
C31406,6446,True,left
C31406,15175,True,left
C31406,17597,True,right
C31406,17600,True,right
C31406,24244,True,right
C31406,24807,True,left
C31438,6506,True,left
C31438,6509,True,left
C31438,16240,True,right
C31438,19183,True,left
C31438,23179,True,right
C31438,25599,True,left
C31568,2195,True,left
C31568,14141,True,right
C31568,15607,True,left
C31568,16578,True,left
C31568,23583,True,left
C31568,31600,True,left
C31694,20582,True,right
C31694,26147,True,left
C31694,28608,True,right
C31694,33111,True,left
C31694,33671,True,left
C31694,33673,True,right
C31694,33768,True,left
C31876,9939,True,left
C31876,11428,True,left
C31876,13978,True,left
C31876,13979,True,right
C31876,13980,True,right
C31876,15456,True,left
C31876,16415,True,right
C31876,19454,True,left
C31876,20450,True,left
C31876,20454,True,right
C31876,21988,True,right
C31876,23445,True,right
C31876,24442,True,left
C31876,24449,True,right
C31876,24451,True,left
C31876,26005,True,left
C31876,27452,True,left
C31876,27453,True,left
C31876,28469,True,right
C31993,1499,True,right
C31993,1515,True,right
C31993,1534,True,right
C31993,1537,True,right
C31993,1546,True,right
C31993,1555,True,right
C31993,12411,True,left
C31993,14042,True,right
C31993,16463,True,left
C31993,20496,True,left
C31993,24514,True,right
C31993,30955,True,left
C32030,11551,True,left
C32030,11557,True,left
C32030,12485,True,left
C32030,14110,True,right
C32030,19598,True,left
